id,recipe,category,prep_time_in_minutes,prep_time_note,cook_time_in_minutes,cook_time_note,difficulty,serving,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,directions_step_1,directions_step_2,directions_step_3,directions_step_4,directions_step_5,directions_step_6,directions_step_7,directions_step_8,directions_step_9,directions_step_10,image,image_creative_commons,calories,fat_in_grams,carbohydrates_in_grams,protein_in_grams
125,Tamari Steak Salad,Beef Recipes,15.0,,10.0,,Medium,4.0,2.0,9.0,0.5,8.0,4.0,4.0,0.5,2.0,,,large bunches salad greens,ounces beef steak,"red bell pepper, siced","cherry tomatoes, cut into halves","radishes, sliced",tablespoons olive oil,tablespoon fresh lemon juice,ounces gluten free tamari sauce,Salt as needed,,Marinate steak in tamari sauce,"Make salad by adding bell pepper, tomatoes, radishes, salad green, oil, salt and lemon juice to a bowl, and toss them well",Grill the steak to your desired doneness and transfer steak on top of the salad platter,Let it sit for 1 minute and cut it crosswise,Serve and enjoy!,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Tamari_Steak_Salad-Tamari_Steak_Salad.jpg,True,500.0,37.0,4.0,33.0
126,Ravaging Beef Pot Roast,Beef Recipes,10.0,,75.0,,Easy,4.0,3.5,4.0,12.0,1.0,0.5,,,,,,pounds beef roast,"ounces mushrooms, sliced",ounces beef stock,ounce onion soup mix,cup Italian dressing,,,,,,"Take a bowl and add stock, onion soup mix and Italian dressing",Stir,Put beef roast in pan,"Add mushrooms, stock mix to the pan and cover with foil",Pre-heat your oven to 300 degree F,Bake for 1 hour and 15 minutes,Let the roast cool,Slice and serve,Enjoy with the gravy on top!,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Ravaging_Beef_Pot_Roast-Ravaging_Beef_Pot_Roast.jpg,True,700.0,56.0,10.0,70.0
127,Juicy Glazed Beef Meatloaf,Beef Recipes,10.0,,90.0,,Medium,6.0,1.0,3.0,2.0,2.0,0.5,0.25,0.33,3.0,,1.0,"cup white mushrooms, chopped",pounds ground beef,"tablespoons fresh parsley, chopped","garlic cloves, peeled and minced",cup onion chopped and almond flour,"cup red bell pepper, seeded and chopped","cup parmesan cheese, grated",whole eggs,Salt and pepper to taste,teaspoon balsamic vinegar,"Take a bowl and add beef, salt, pepper, mushrooms, garlic, onion, bell pepper, parsley, almond flour , cheese, 1 teaspoon vinegar, salt, pepper, eggs and stir well",Transfer mixture to loaf pan and bake for 30 minutes at 375 degree F,Take a small pan and heat over medium heat,"Add ketchup, swerve, 2 cups vinegar and stir cook for 20 minutes",Take meatloaf out of oven and spread glaze over meatloaf,Place in oven and bake for 20 minutes more,"Let it cool, slice and serve!",,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Juicy_Glazed_Beef_Meatloaf-Juicy_Glazed_Beef_Meatloaf.jpg,True,264.0,14.0,4.0,24.0
128,Zucchini Beef Sauté With Coriander Greens,Beef Recipes,10.0,,10.0,,Easy,4.0,10.0,1.0,0.25,3.0,2.0,4.0,,,,,"ounces beef, sliced into 1-2 inch strips","zuccchini, cut into 2 inch strips","cup parsley, chopped","garlic cloves, minced",tablespoons tamari sauce,tablespoons avocado oil,,,,,Add 2 tablespoons avocado oil in a frying pan over high heat,Place strips of beef and brown for a few minutes on high heat,"Once the meat is brown, add zucchini strips and Saute until tender","Once tender, add tamari sauce, garlic, parsley",Serve immediately and enjoy!,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Zucchini_Beef_Saut%C3%A9_With_Coriander_Greens-Zucchini_Beef_Saut%C3%A9_With_Coriander_Greens.jpg,True,500.0,40.0,5.0,31.0
129,Pure Broccoli Rib Eye,Beef Recipes,5.0,,15.0,,Easy,4.0,4.0,0.75,9.0,1.0,1.0,1.0,,,,,ounces butter,"pound Ribeye steak, sliced","ounces broccoli, chopped","yellow onion, sliced",tablespoon coconut aminos,tablespoon pumpkin seeds,Salt and pepper to taste,,,,Slice steak and the onions,"Chop broccoli, including the stem parts","Take a frying pan and place it over medium heat, add butter and let it melt",Add meat and season accordingly with salt and pepper,Cook until both sides are browned. Transfer meat to platter.,"Add broccoli and onion to the frying pan, add more butter if needed",Brown,Add coconut aminos and return the meat,Stir and season again,Serve with a dollop of butter with a sprinkle of pumpkin seeds,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Pure_Broccoli_Rib_Eye-Pure_Broccoli_Rib_Eye.jpg,True,875.0,75.0,8.0,40.0
130,Mushroom And Olive “Mediterranean” Steak,Beef Recipes,10.0,,14.0,,Easy,4.0,1.0,1.0,1.0,4.0,4.0,0.5,1.0,,,,"pound boneless beef sirloin steak, ¾ inch thick, cut into 4 pieces","large red onion, chopped",cup mushrooms,"garlic cloves, thinly sliced",tablespoons olive oil,"cup green olives, coarsely chopped","cup parsley leaves, finely cut",,,,Take a large sized skillet and place it over medium high heat,Add oil and let it heat,"Add beef and cook until both sides are browned, remove beef and drain fat",Add rest of the oil to skillet and heat it up,"Add onions, garlic and cook for 2-3 minutes",Stir well,Add mushrooms olives and cook until mushrooms are thoroughly done,Return beef to skillet and lower heat to medium,Cook for 3-4 minutes (covered),Stir in parsley.  Serve and enjoy!,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Mushroom_And_Olive_Mediterranean_Steak-Mushroom_And_Olive_Mediterranean_Steak.jpg,True,386.0,30.0,11.0,21.0
131,Satisfying Low-Carb Beef Liver Salad,Beef Recipes,10.0,,0.0,,Easy,3.0,4.0,1.0,1.0,1.0,2.0,2.0,,,0.5,,"ounces beef liver, cooked","egg, hard boiled",ounce dried mushroom,"whole onion, minced",ounces mayonnaise,ounces olive oil,Salt and pepper to taste,Dill for serving,"a red bell pepper, sliced",,Cut mushroom and livers into stripsand transfer to a bowl,"Peel the egg and slice it, transfer to bowl",Add remaining ingredients and toss well,Sprinkle with dill and serve!,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Satisfying_Low-Carb_Beef_Liver_Salad-Satisfying_Low-Carb_Beef_Liver_Salad.jpg,True,300.0,26.0,5.0,10.0
132,Perfect Aromatic Beef Roast,Beef Recipes,10.0,,50.0,,Easy,4.0,1.0,2.0,2.0,2.0,1.0,,,,,,lb of beef sirloin or similar lean cut for roast,tbsp of mustard,tbsp of olive oil,tbsp of garlic salt,spring of fresh rosemary,,,,,,"Combine the mustard, olive oil, and garlic salt in a small bowl.","Take the roast beef, remove excess fat and make small incisions lengthwise so you can let the mixture penetrate more easily.","Brush the mustard mixture over the beef, making sure it all nicely coated.",Place on a baking dish and arrange the rosemary leaves on the sides for extra aroma.,Cook in a preheated oven at 380F/180 C for 50 minutes (for a medium cook inside).,Serve with mashed sweet potatoes and/or salad,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Perfect_Aromatic_Beef_Roast-Perfect_Aromatic_Beef_Roast.jpg,True,646.0,27.0,0.1,96.0
133,Beef Packed Zucchini Boats,Beef Recipes,10.0,,30.0,,Easy,4.0,1.0,1.0,4.0,0.5,1.0,,,,,,lb of ground beef with around 80% meat and 20% fat ratio,cup of red Mexican salsa,medium zucchinis,shredded cheddar cheese,tbsp of olive oil,,,,,,"Take the zucchinis, cut in half lengthwise, and scoop out the middle flesh inside (leaving enough flesh to make a boat on the sides). Take a form and pinch the insides slightly",Heat the pan with olive oil and add the ground beef.,Sauté for 7-8 minutes or until most of the juices have evaporated.,Add the salsa and cook for another couple of minutes,Distribute the ground beef and salsa over the zucchini boats,Sprinkle with the cheese on top of each.,Bake in the oven for 15 minutes and serve,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Beef_Packed_Zucchini_Boats-Beef_Packed_Zucchini_Boats.jpg,True,280.0,13.0,4.2,30.0
134,Spicy Chipotle Steak,Beef Recipes,10.0,,20.0,,Easy,4.0,2.0,1.0,2.0,0.25,,,,,,,"sirloin steaks, cut into thin strips",tbsp of chipotle seasoning powder,tbsp of olive oil,cup tomato paste,Salt to taste,,,,,,"Combine the tomato paste, olive oil, and chipotle seasoning with salt to make a marinade.",Brush the mixture onto the steaks.,Heat a grilling pan and cook the steaks 2-3 minutes on each side for medium inside or depending on how cooked you want them to be,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Spicy_Chipotle_Steak-Spicy_Chipotle_Steak.jpg,True,470.0,24.0,4.0,50.0
135,Beef Cheeseburger Wraps,Beef Recipes,10.0,,50.0,,Easy,4.0,8.0,0.25,4.0,2.0,2.0,,,,,,oz. of ground beef with 20% fat,cup chopped onion,small low carb tortillas,slices of mild cheddar cheese,tbsp of salsa,,,,,,Lightly grease a pan and add the onion and saute for a couple of minutes until almost transparent.,Add the ground beef and sauté for 4-5 minutes or until the juices have evaporated.,Add the salsa and toss.,Distribute the ground beef mixture onto the tortilla chips and top with parmesan cheese.,Serve optionally with a bit of sour cream,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Beef_Cheeseburger_Wraps-Beef_Cheeseburger_Wraps.jpg,True,456.0,21.0,5.0,37.0
136,Cheddar Jalapeno Meatloaf,Beef Recipes,10.0,,40.0,,Easy,4.0,2.0,0.5,2.0,1.5,1.5,,,,,,lb ground beef,tsp cumin,"jalapenos, sliced",tbsp of garlic salt,cups of cheddar cheese,,,,,,Preheat the oven to 375F/180C.,Combine all the ingredients together except the jalapenos and cheese.,"Fill a deep baking dish (around 8X8 inches) with the ground beef and spice mixture, top with the jalapenos, and finish with the layer of cheddar cheese.",Bake in the oven for 35-40 minutes. Let rest for 5 minutes before serving and cut ideally into squares or triangles before serving,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Cheddar_Jalapeno_Meatloaf-Cheddar_Jalapeno_Meatloaf.jpg,True,407.0,28.0,2.3,30.0
137,Perfect Philly Cheesesteak Stuffed Peppers,Beef Recipes,10.0,,20.0,,Easy,4.0,2.0,8.0,6.0,8.0,2.0,,,,,,large bell peppers cut in half lengthwise,oz. of thinly sliced roast beef or pastrami beef,"oz. of baby mushrooms, sliced",slices of provolone or cheddar cheese,tbsp of salted butter,,,,,,Make sure that the bell peppers are cut lengthwise into halves and contain no seeds.,"In a pan, melt the butter and add the mushrooms. Saute for 3-4 minutes and remove from the heat.","Take the bell pepper halves and start arranging one slice of cheese over the bottom layer of the pepper, then 2 slices of pastrami on each, and then a few mushrooms. Finish off each pepper boat with an extra slice of cheese on top.","In a preheated oven (around 400F/200C), pop the peppers and cook for 18-20 minutes so that the peppers are cooked, and the cheese is melted.",Let cool for 5 minutes and serve,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Perfect_Philly_Cheesesteak_Stuffed_Peppers-Perfect_Philly_Cheesesteak_Stuffed_Peppers.jpg,True,458.0,36.0,8.0,27.0
138,Grilled Beef Short Loin,Beef Recipes,10.0,,20.0,,Easy,4.0,1.5,2.0,1.0,1.0,,,,,,,pounds beef short loin,"thyme sprigs, chopped","rosemary sprig, chopped",teaspoon garlic powder,"Sea salt and ground black pepper, to taste",,,,,,Place all of the above ingredients in a re-sealable zipper bag. Shake until the short beef loin is well coated on all sides.,"Cook on a preheated grill for 15 to 20 minutes, flipping once or twice during the cooking time.",Let it stand for 5 minutes before slicing and serving.,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Grilled_Beef_Short_Loin-Grilled_Beef_Short_Loin.jpg,True,313.0,11.0,0.1,52.0
139,Hearty Beef Bourguignon,Beef Recipes,10.0,,70.0,,Easy,4.0,1.5,1.0,1.0,1.0,1.0,,,,,,"pounds shoulder steak, cut into cubes",tablespoon Herbs de Provence,"onion, chopped","celery stalk, chopped",cup red Burgundy wine,,,,,,Heat up a lightly greased soup pot over a medium-high flame. Now brown the beef in batches until no longer pink.,Add a splash of wine to deglaze your pan.,"Add the Herbs de Provence, onion, celery, and wine to the pot; pour in 3 cups of water and stir to combine well. Bring to a rapid boil; then, turn the heat to mediumlow.",Cover and let it simmer for 1 hour 10 minutes. Serve over hot cauliflower rice if desired. Enjoy!,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Hearty_Beef_Bourguignon-Hearty_Beef_Bourguignon.jpg,True,217.0,4.0,4.0,0.4
140,Zucchini And Cheddar Beef Mugs,Beef Recipes,10.0,,15.0,,Easy,4.0,4.0,3.0,1.0,2.0,3.0,,,,,,"oz roast beef deli slices, torn apart",tbsp sour cream,"small zucchini, chopped",tbsp chopped green chilies,oz shredded cheddar cheese,,,,,,Divide the beef slices at the bottom of 2 wide mugs and spread 1 tbsp of sour cream.,"Top with 2 zucchini slices, season with salt and pepper, add green chilies, top with the remaining sour cream, and then cheddar cheese.",Place the mugs in the microwave for 1-2 minutes until the cheese melts.,"Remove the mugs, let cool for 1 minute, and serve.",,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Zucchini_And_Cheddar_Beef_Mugs-Zucchini_And_Cheddar_Beef_Mugs.jpg,True,188.0,9.0,4.0,18.0
141,Beef Stuffed Peppers,Beef Recipes,10.0,,50.0,,Easy,4.0,1.5,1.0,,0.25,0.5,,,,,,pound ground beef,"garlic clove, minced","Sea salt and ground black pepper, to taste",cup cream of onion soup,teaspoon paprika,,,,,,"Heat the olive oil in a saute pan over moderate heat. Once hot, sear the ground beef for 5 to 6 minutes, turning once or twice to ensure even cooking.","Add in the cream of onion soup, paprika, salt, and black pepper. Cook for a further 3 minutes until heated through. The meat thermometer should register 145 degrees F.",Serve in individual plates garnished with freshly snipped chives if desired. Enjoy!,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Beef_Stuffed_Peppers-Beef_Stuffed_Peppers.jpg,True,395.0,24.0,0.8,40.0
142,Fine Filet Mignon In Dijon Sauce,Beef Recipes,10.0,,15.0,,Medium,4.0,2.0,2.0,,1.0,1.0,,,,,,"teaspoons lard, at room temperature","pounds beef filet mignon, cut into bite-sized chunks","Flaky salt and ground black pepper, to season",tablespoon Dijon mustard,cup double cream,,,,,,"Melt the lard in a saucepan over moderate heat; now, sear the filet mignon for 2 to 3 minutes per side—season with salt and pepper to taste.",Fold in the Dijon mustard and cream. Reduce the heat to medium-low and continue to cook for a further 6 minutes or until the sauce has reduced slightly.,"Serve in individual plates, garnished with cauli rice if desired. Enjoy!",,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Fine_Filet_Mignon_In_Dijon_Sauce-Fine_Filet_Mignon_In_Dijon_Sauce.jpg,True,301.0,2.0,2.0,34.0
143,Shitake Butter Beef Dish,Beef Recipes,10.0,,10.0,,Easy,4.0,2.0,4.0,2.0,2.0,,,,,,,"cups shitake mushrooms, sliced",ribeye steaks,tbsp butter,tsp olive oil,Salt and black pepper to taste,,,,,,Heat olive oil in a pan over medium heat. Rub the steaks with salt and pepper and cook for 4 minutes per side. Set aside.,Melt butter in the pan and cook the shitakes for 4 minutes.,Pour the butter and mushrooms over the steak.,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Shitake_Butter_Beef_Dish-Shitake_Butter_Beef_Dish.jpg,True,307.0,31.0,3.0,33.0
144,Crazy Beef Meatballs,Beef Recipes,10.0,,20.0,,Easy,4.0,1.0,0.5,1.0,0.5,1.0,,,,,,lb ground beef,cup grated parmesan cheese,tbsp minced garlic (or paste),cup mozzarella cheese,tsp freshly ground pepper,,,,,,Preheat your oven to 400°F/200°C.,"In a bowl, mix all the ingredients together.",Roll the meat mixture into 6 generous meatballs.,Bake inside your oven at 170°F/80°C for about 18 minutes.,Serve with sauce!,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Crazy_Beef_Meatballs-Crazy_Beef_Meatballs.jpg,True,380.0,22.0,1.0,18.0
145,Delicious Beef Casserole,Beef Recipes,10.0,,40.0,,Medium,4.0,0.5,0.5,0.5,1.5,1.0,,,,,,lb. ground beef,cup chopped onion,bag coleslaw mix,cups tomato sauc,tbsp lemon juice,,,,,,"In a skillet, cook the ground beef until browned and to the side.",Mix in the onion and cabbage to the skillet and sauté until soft.,Add the ground beef back in along with the tomato sauce and lemon juice.,"Bring the mixture to a boil, then cover and simmer for 30 minutes.",Enjoy!,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Delicious_Beef_Casserole-Delicious_Beef_Casserole.jpg,True,275.0,20.0,6.0,20.0
146,Ground Beef Hamburger Patties,Beef Recipes,10.0,,10.0,,Easy,4.0,0.5,12.0,1.5,1.0,,,,,,,an egg,oz. ground beef,oz. crumbled feta cheese,oz. butter,Salt & Black pepper,,,,,,"In a mixing bowl, add the feta cheese, ground beef, black pepper, egg, and salt, then mix to combine well.",Shape the mixture into equal patties.,Put a pan on fire to melt the butter.,Cook the patties for 4 minutes on each side on medium-low heat.,Serve!,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Ground_Beef_Hamburger_Patties-Ground_Beef_Hamburger_Patties.jpg,True,488.0,27.0,2.0,56.0
147,Creative Lamb Chops,Pork And Other Red Meat,35.0,,5.0,,Medium,3.0,0.25,0.25,8.0,1.0,1.0,,,,,,cup olive oil,"cup mint, fresh and chopped",lamb rib chops,"tablespoon garlic, minced","tablespoon rosemary, fresh and chopped",,,,,,"Add rosemary, garlic, mint, olive oil into a bowl and mix well",Keep a tablespoon of the mixture on the side for later use,"Toss lamb chops into the marinade, letting them marinate for 30 minutes",Take a cast iron skillet and place it over medium-high heat,Add lamb and cook for 2 minutes per side for medium rare,Let the lamb rest for a few minutes and drizzle remaining,Serve and enjoy!,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Creative_Lamb_Chops-Creative_Lamb_Chops.jpg,True,566.0,40.0,2.0,47.0
148,Healthy Slow-Cooker Lamb Leg,Pork And Other Red Meat,10.0,,480.0,,Medium,6.0,2.0,,1.0,2.0,0.25,,4.0,6.0,1.0,,pounds lamb leg,Salt and pepper to taste,tablespoon vanilla bean extract,tablespoons mustard,cup olive oil,thyme sprigs,mint leaves,"teaspoon garlic, minced",Pinch of dried rosemary,,Add oil to your Slow Cooker,"Add lamb, salt, pepper, vanilla bean extract, mustard, rosemary, garlic to your Slow Cooker and rub the mixture well",Place lid and cook on LOW for 7 hours,Add mint and thyme,Cook for 1 hour more,Let it cool and slice,Serve with pan juices,Enjoy!,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Healthy_Slow-Cooker_Lamb_Leg-Healthy_Slow-Cooker_Lamb_Leg.jpg,True,400.0,34.0,3.0,26.0
